symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
EXC,2010-10-22,2012-11-01,16.231415,14.608273,1132.2419,510,-0.10125911861696801,-1862.2314070397115,stop
ECL,2010-10-29,2011-06-30,41.29072,47.484328,441.213691,168,0.14839112621165174,2705.2865083420584,target
ABT,2010-11-05,2011-01-28,17.549639,15.794675,1046.466355,57,-0.10125911861696812,-1860.9362679713377,stop
PGN-201207,2010-12-10,2011-05-17,40.355488,46.408811,453.300011,108,0.14839112621165174,2716.4402932726407,target
WEC,2011-01-07,2011-10-21,17.50589,20.131773,1070.542034,199,0.14839112621165174,2782.9137722903215,target
PX-201810,2011-01-28,2011-04-19,76.53109,88.010754,243.301984,56,0.14839112621165196,2765.001551560159,target
SCG-201812,2011-02-25,2011-08-08,29.539202,26.585282,639.97814,113,-0.10125911861696801,-1915.5872652356775,stop
CSX,2011-04-21,2011-08-04,6.37145,5.734305,3060.838517,72,-0.10125911861696812,-1976.1355894788576,stop
LMT,2011-04-21,2011-08-08,48.956886,44.061197,398.350082,74,-0.10125911861696812,-1976.1355894788576,stop
CINF,2011-05-13,2011-07-18,19.185116,17.266604,1055.635882,44,-0.10125911861696779,-2052.1855066985518,stop
PPG,2011-05-13,2011-08-04,33.700283,30.330255,600.959252,57,-0.1012591186169679,-2052.1855066985554,stop
COL-201811,2011-05-20,2011-07-27,54.909374,49.418437,370.256637,46,-0.1012591186169679,-2060.09566011632,stop
MSI,2011-07-15,2011-08-08,34.17207,30.754863,592.307288,16,-0.10125911861696801,-2050.956298722598,stop
PEP,2011-07-22,2011-10-04,41.513783,37.362405,488.753446,51,-0.1012591186169679,-2055.9861557704644,stop
ABT,2011-07-29,2012-03-09,18.184998,20.912748,1084.131852,154,0.14839112621165151,2927.569356178192,target
HSY,2011-10-28,2012-04-24,40.61426,46.706399,470.832393,121,0.14839112621165174,2839.597006160344,target
NEM,2011-12-30,2012-03-14,43.284733,38.95626,446.444942,50,-0.1012591186169679,-1958.126263473463,stop
CEG-201203,2012-01-06,2012-03-12,37.31771,37.23,515.277668,44,-0.0037460910683403403,-72.08394339338338,delist
FDO-201507,2012-01-06,2012-03-30,51.376606,59.083097,374.275066,58,0.14839112621165196,2855.407769534024,target
MA,2012-01-06,2012-02-07,31.59598,36.335377,608.589529,21,0.14839112621165196,2855.407769534024,target
MMI-201205,2012-01-06,2012-05-21,38.46,39.98,499.973546,93,0.03806726866856214,732.5072428260646,delist
AIZ,2012-01-13,2012-02-13,28.717314,33.024911,524.879741,20,0.14839112621165196,2238.2853798034557,target
PPL,2012-01-13,2013-02-20,13.617259,15.659848,1406.296566,275,0.14839112621165196,2843.665078646347,target
GIS,2012-02-10,2013-02-14,23.714005,27.271106,830.663038,253,0.14839112621165174,2925.106103782902,target
PGN-201207,2012-02-17,2012-06-11,52.409702,60.271157,375.294725,78,0.14839112621165174,2920.7607341370385,target
MCD,2012-03-09,2012-06-04,66.20223,59.582007,298.122493,59,-0.1012591186169679,-1999.886762895152,stop
AIZ,2012-03-16,2012-05-18,30.17577,27.158193,653.227203,44,-0.10125911861696812,-1997.3798574722678,stop
TWX-201806,2012-03-16,2012-08-03,30.529858,35.109337,645.651016,97,0.14839112621165174,2927.0790677523364,target
COL-201811,2012-03-30,2012-05-14,51.96778,46.624676,386.435289,30,-0.1040708855790966,-2091.4336613912456,stop_gap
RAI-201707,2012-04-27,2012-07-13,16.228088,18.662301,1236.179673,53,0.14839112621165174,2978.9333247673967,target
GR-201207,2012-05-18,2012-07-26,124.74,127.48,155.188702,47,0.020535937494067014,397.81785747068716,delist
UPS,2012-05-18,2013-02-15,45.124493,51.893167,428.996259,186,0.14839112621165174,2874.601654501377,target
RTN-202004,2012-05-25,2012-07-10,41.047703,47.204858,475.901589,30,0.14839112621165196,2900.800386050374,target
HSH-201408,2012-06-08,2012-07-27,26.72136,24.049224,714.228424,34,-0.10125911861696801,-1933.8987396859811,stop
AZO,2012-06-29,2013-05-10,367.17,422.2455,56.08887,215,0.14839112621165174,3058.1283611697836,target
MAT,2012-07-13,2012-09-06,24.464497,28.134172,849.993429,38,0.14839112621165174,3087.903287861558,target
ROP,2012-07-13,2012-09-24,88.60459,101.895278,234.69057,50,0.14839112621165174,3087.903287861558,target
CA-201811,2012-07-27,2012-11-15,19.811024,17.829922,1055.172633,76,-0.10125911861696801,-2118.2074224646603,stop
FRX-201406,2012-07-27,2013-05-23,34.04,39.146,614.102537,205,0.14839112621165174,3104.146957454752,target
CVS,2012-08-03,2013-01-11,31.12524,35.794026,674.143007,109,0.14839112621165151,3115.850223189569,target
ED,2012-09-07,2012-11-21,36.274204,32.646784,589.673222,51,-0.10125911861696801,-2167.4412790377355,stop
LUMN,2012-09-28,2013-02-14,17.581566,15.064585,1221.840566,93,-0.14435896472667875,-3103.2713626649784,stop_gap
PEP,2012-11-02,2013-03-22,45.349022,52.151375,463.320628,95,0.14839112621165196,3120.048841445143,target
AEP,2012-11-23,2013-02-27,25.227573,29.011709,808.154843,64,0.14839112621165174,3027.484177222337,target
DTE,2012-11-23,2013-03-04,31.376764,36.083279,658.063831,67,0.14839112621165196,3066.1119189031415,target
AGN-202005,2013-01-11,2013-04-02,79.06298,90.922427,273.678841,54,0.14839112621165174,3213.11472437251,target
AMT,2013-02-15,2014-05-01,54.93542,63.175733,401.791334,303,0.14839112621165174,3277.6671244752542,target
CCI,2013-02-15,2013-04-25,41.00739,47.158499,525.430278,47,0.14839112621165174,3199.551131941709,target
PX-201810,2013-02-15,2013-10-18,96.642365,111.13872,228.394407,170,0.14839112621165174,3277.667124475258,target
APD,2013-02-22,2013-07-11,57.07882,65.640643,385.284427,96,0.14839112621165174,3265.6397422354203,target
BALL,2013-03-01,2013-11-18,19.30546,22.201279,1172.252038,182,0.14839112621165196,3360.5702723301474,target
EBAY,2013-03-08,2014-10-16,19.779535,17.801582,1162.343293,406,-0.10125911861696801,-2329.638495353891,stop
SPG,2013-03-22,2013-05-22,80.75809,92.871803,285.705133,42,0.14839112621165196,3426.2252566931893,target
SIAL-201511,2013-04-05,2013-09-16,74.34216,85.493484,315.468959,113,0.14839112621165174,3482.600348831933,target
MMM,2013-04-26,2013-08-01,57.850765,66.52838,411.604869,67,0.14839112621165174,3535.9119416272806,target
SO,2013-05-10,2013-09-03,26.487198,23.838478,931.876523,79,-0.1012591186169679,-2501.1079189393713,stop
ED,2013-05-24,2014-10-31,36.223736,41.657296,685.045878,363,0.14839112621165174,3684.8916981532275,target
TRV,2013-05-24,2014-05-29,62.509136,71.885506,396.980707,254,0.14839112621165196,3684.891698153231,target
LH,2013-07-12,2013-12-11,78.942116,71.047904,318.787951,106,-0.10125911861696801,-2550.0500485305092,stop
DGX,2013-08-02,2014-01-03,45.28294,40.754646,552.009048,106,-0.10125911861696824,-2532.9047288064867,stop
BRK.B,2013-09-06,2014-04-29,111.86,128.639,219.689204,161,0.14839112621165174,3649.18062226905,target
MTB,2013-09-20,2014-09-10,78.61774,90.410401,322.86874,244,0.14839112621165151,3769.2798699947016,target
MRK,2013-10-18,2014-01-13,29.92528,34.414072,850.58247,58,0.14839112621165174,3779.7796373737947,target
SJM,2013-11-22,2014-02-04,71.75108,64.575972,363.754688,48,-0.10125911861696801,-2644.6918918628035,stop
L,2013-12-13,2014-08-07,43.85833,39.472497,569.387136,162,-0.10125911861696812,-2530.450139394863,stop
PG,2014-01-03,2014-11-11,56.53407,65.01418,448.39768,216,0.14839112621165196,3764.310510263331,target
COP,2014-01-17,2014-05-02,44.864246,51.593883,564.439009,72,0.14839112621165196,3760.358270383338,target
FISV,2014-02-07,2014-08-18,27.615,31.75725,895.71633,132,0.14839112621165151,3673.054483976339,target
HBAN,2014-05-02,2014-12-05,5.723345,6.581847,4660.794248,151,0.14839112621165174,3961.153641684563,target
LLTC-201703,2014-05-02,2014-10-10,41.32981,37.196829,645.425988,112,-0.10125911861696801,-2703.011539189174,stop
TFC,2014-05-02,2015-06-16,23.415812,26.928184,1139.201726,282,0.14839112621165174,3961.153641684563,target
IBM,2014-05-30,2014-10-21,108.69125,97.822125,245.708296,100,-0.1012591186169679,-2706.1536146346916,stop
